"Quantity","LCSC Part Number","Value","Footprint"
"4","C1634","10p","C_0402_1005Metric"
"2","C1631","6n8","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"
"24","C1525","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"1","C52923","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"1","C23733","4u7","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"1","C312983","100u/10v","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"1","C19702","10u/10v","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"
"5","C15525","10u/6v3","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"1","C9196","1n/2kv","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"4","C22374871","22n/100v","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"
"1","C41017","4n7/2kv","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"1","C8598","B5819W","D_SOD-123"
"2","C3589227","D_Bridge_+-AA","Diode_Bridge_Diotec_MicroDil_3.0x3.0x1.8mm"
"2","C2297","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"2","C965793","GREEN","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder"
"1","C2980408","SMAJ58A","D_SMA"
"1","C1017","600R@100MHz","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder"
"1","C7205199","RJ45_Shielded","RJ45_FG_RJ-064-1"
"1","C165948","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12"
"2","C25077","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"2","C25092","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"4","C25105","33R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"4","C25120","49R9","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"4","C25133","75R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"8","C25079","120R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"11","C25900","4k7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"3","C25744","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"1","C11692","12k4","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"1","C25790","470k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"1","C26083","1M","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"1","C380198","MOD","tiny-btn"
"1","C42418465","CND-tek-H1102N","Transformer_Ethernet_SO-16_7.11x12.7mm"
"1","C5380108","DP9900","PSU_DP9900LP"
"1","C5441728","GX101","SOT-23-6"
"1","C18347","MAX13487E","SOIC-8_3.9x4.9mm_P1.27mm"
"1","C82942","ME6211C33","SOT-23-5"
"1","C2687116","USBLC6-2SC6","SOT-23-6"
"1","C32843","W5500","LQFP-48_7x7mm_P0.5mm"
"1","C609746","XL1050","SOIC-8_3.9x4.9mm_P1.27mm"
"1","C2858491","esp32-C3FH4X","QFN-32-1EP_5x5mm_P0.5mm_EP3.65x3.65mm"
"1","C7301943","25MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm"
"1","C20885029","40MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm"
