Designator,Mid X,Mid Y,Layer,Rotation
"C1",54.137,9.700,top,0.000
"C2",56.337,2.938,top,0.000
"C3",52.837,11.637,top,-90.000
"C4",54.137,13.337,top,180.000
"C5",54.037,2.938,top,0.000
"C6",26.000,3.500,bottom,90.000
"C7",32.500,2.500,bottom,90.000
"C8",31.300,2.200,bottom,90.000
"C9",31.300,4.400,bottom,-90.000
"C10",19.500,10.600,top,0.000
"C11",18.100,6.800,top,90.000
"C12",22.300,7.300,top,-90.000
"C13",15.200,6.300,bottom,90.000
"C14",28.300,9.000,bottom,0.000
"C15",21.300,3.800,top,180.000
"C16",32.000,9.600,bottom,180.000
"C17",34.800,6.400,top,90.000
"C18",34.800,9.700,top,-90.000
"C19",32.000,8.400,bottom,180.000
"C20",39.892,3.500,top,0.000
"C21",42.392,1.500,top,-90.000
"C22",43.392,1.500,top,-90.000
"C23",45.392,1.500,top,-90.000
"C24",44.392,1.500,top,-90.000
"C25",37.892,7.400,top,180.000
"C26",46.392,1.500,top,-90.000
"C27",37.892,5.000,top,180.000
"C28",37.692,9.100,top,180.000
"C29",50.093,6.100,top,90.000
"C30",50.692,4.500,top,0.000
"C31",51.700,9.400,top,0.000
"C32",51.992,5.600,top,0.000
"C33",51.600,13.200,bottom,0.000
"C34",51.500,9.400,bottom,0.000
"C35",49.037,7.737,bottom,180.000
"C36",15.700,12.700,bottom,90.000
"C37",12.000,3.500,bottom,180.000
"C38",48.938,12.037,bottom,180.000
"C39",41.000,3.837,bottom,90.000
"C40",42.137,4.737,bottom,90.000
"C41",49.000,10.000,bottom,0.000
"C42",46.137,5.037,bottom,0.000
"C43",41.000,6.100,bottom,-90.000
"C44",49.000,11.000,bottom,0.000
"C45",41.000,8.300,bottom,90.000
"D1",49.337,12.837,top,0.000
"D2",49.337,1.137,top,0.000
"D3",19.500,6.500,bottom,180.000
"D4",19.500,10.000,bottom,180.000
"D5",28.300,12.200,bottom,180.000
"D6",16.400,13.300,top,180.000
"D7",16.400,0.700,top,180.000
"D8",12.000,1.800,bottom,180.000
"FB1",49.292,3.100,top,0.000
"J2",12.000,7.000,top,-90.000
"J3",4.700,5.500,bottom,90.000
"R1",51.737,12.637,top,-90.000
"R2",51.737,1.337,top,-90.000
"R3",54.137,11.637,top,90.000
"R4",50.237,1.037,bottom,180.000
"R5",56.737,1.337,top,90.000
"R6",56.737,4.537,top,-90.000
"R7",56.737,10.340,top,90.000
"R8",56.737,12.637,top,90.000
"R9",55.737,1.337,top,-90.000
"R10",55.737,4.537,top,-90.000
"R11",54.438,1.337,top,90.000
"R12",54.438,4.537,top,90.000
"R13",55.737,10.338,top,90.000
"R14",55.737,12.637,top,90.000
"R15",53.438,1.337,top,90.000
"R16",53.438,4.537,top,90.000
"R17",40.500,0.900,top,180.000
"R18",20.400,9.300,top,0.000
"R19",19.400,7.100,top,90.000
"R20",21.000,7.100,top,90.000
"R21",18.400,3.500,top,0.000
"R22",35.200,3.200,top,180.000
"R23",35.700,4.200,top,0.000
"R24",34.400,8.400,bottom,0.000
"R25",34.400,9.600,bottom,0.000
"R26",16.400,12.200,top,180.000
"R27",16.400,1.800,top,180.000
"R28",37.892,6.000,top,0.000
"R29",37.700,10.400,top,0.000
"R30",37.497,3.200,top,0.000
"R31",36.100,9.100,top,-90.000
"R32",36.100,6.700,top,90.000
"R33",50.093,8.400,top,-90.000
"R34",56.500,7.800,bottom,0.000
"R35",54.237,6.237,bottom,0.000
"R36",29.037,5.737,bottom,180.000
"R37",49.037,6.637,bottom,180.000
"R38",9.700,3.500,bottom,0.000
"R39",10.300,8.300,bottom,180.000
"R40",41.000,11.000,bottom,90.000
"R41",41.600,12.700,bottom,0.000
"SW1",13.100,11.500,bottom,-90.000
"TR1",28.500,7.000,top,180.000
"U1",55.500,7.400,top,0.000
"U2",55.137,2.938,bottom,90.000
"U3",56.737,11.037,bottom,90.000
"U5",29.000,3.100,bottom,270.000
"U6",44.192,7.800,top,270.000
"U7",10.700,5.800,bottom,180.000
"U8",44.700,9.000,bottom,270.000
"Y1",51.992,7.400,top,180.000
"Y2",51.500,11.300,bottom,-90.000
